same_employer,job_format,hours_worked_per_week,daily_work_type,job_match_interests,consider_career_likelihood,supervisor_support,supervisor_properly_train,supervisor_understand_role,supervisor_understand_expectations,supervisor_give_feedback,supervisor_achieve_goals,supervisor_comfortable,experience_rating,job_reference_person,mentor_person,recommend_job,new_job_prepared,interested_in_pursuing,post_high_school_plans,prepared_resume,prepared_cover_letter,asked_adult_reference,searched_jobs_online,discussed_wanted_jobs,developed_interview_answers,practiced_interviewing,usually_on_time_school_work,rarely_absent_school,meet_deadlines,keep_track_assignments,work_independently,ask_for_help,work_in_teams,rarely_get_upset_or_lose_temper,rarely_get_upset_when_corrected,rarely_get_into_arguments_friends,rarely_get_into_arguments_parents_teachers,rarely_difficulty_resolving_arguments,often_eye_contact_during_conversation,skills_to_improve,typically_manage_money,household_items_paid_for,parent_role_model,sibling_role_model,family_role_model,teacher_role_model,coach_role_model,clergy_role_model,supervisor_role_model,contribute_family,contribute_friends,contribute_coworkers,contribute_neighborhood,contribute_school,contribute_worship,feeling_nervous,cannot_stop_worrying,feeling_down,little_interest_in_things,gender,race,second_language_spoken_at_home,adult_live_with
Yes,I had an in-person job or internship,21 to 25,Other,Very well,Likely,Mostly supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,Yes,Yes,Yes,"Legal: (e.g.,  lawyer, judge, paralegal),Education: (e.g.,  teacher, professor, or daycare provider),Healthcare Support: (e.g.,  home health aid, therapist, medical assistant),Protective Services: (e.g.,  firefighter, police officer, security guard),Construction: (e.g.,  carpenter, painter, plumber, electrician, roofer),Installation and Repair: (e.g.,  aircraft mechanic, automotive, home repair)","Enroll at a 4 year college/university,Enroll in a career training program (e.g., City Academy, YearUp),Enroll in an apprenticeship program (e.g., construction, hospitality),Work full-time,Work part-time,Undecided",No,No,Yes,Yes,Yes,No,No,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,"Academic skills (i.e. reading, writing, math),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account),Job readiness skills (i.e. writing a resume and interviewing)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",Cell phone,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,This does not apply to me,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,Not applicable (N/A),Several days,Several days,Several days,Not at all,Male,White (Not Hispanic or Latino),No other language,Both of my parents
Yes,I had an in-person job or internship,21 to 25,Outdoor / Maintenance / Conservation,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,Yes,Yes,Yes,"Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer),Architecture and Engineering: (e.g.,  architect, civil, electrical, or mechanical engineer),Life, Physical, and Social Sciences: (e.g.,  environmental scientist, biologist, sociologist),Education: (e.g.,  teacher, professor, or daycare provider),Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer),Food Preparation and Serving: (e.g.,  chef, cook, bartender, waiter or waitress),Personal Care and Service: (e.g.,  hairdresser, travel guide, fitness trainer),Production: (e.g.,  machinist, welder, woodworker, factory worker/ operator),Sports: (e.g., coach, athlete)","Enroll at a 4 year college/university,Enroll at a technical/vocational school (e.g., cosmetology, nursing school),Other (please write in):",Yes,Yes,Yes,Yes,Yes,Yes,,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Groceries,Clothes/shoes",Never,Never,Never,Most of the time,Most of the time,This does not apply to me,Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Not applicable (N/A),Not at all,Not at all,Not at all,Several days,Female,Two or More Races,No other language,Only my mother
Yes,I had an in-person job or internship,11 to 15,Individual / Group Project Work,Somewhat well,Not sure / maybe,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Neither Good Nor Bad,Yes,No,Yes,Yes,"Legal: (e.g.,  lawyer, judge, paralegal),Installation and Repair: (e.g.,  aircraft mechanic, automotive, home repair)","Enroll at a 4 year college/university,Work full-time",No,No,No,No,No,Yes,No,Agree,Neutral,Neutral,Neutral,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,"Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.","Cell phone,Clothes/shoes,Entertainment",Most of the time,Sometimes,Sometimes,This does not apply to me,This does not apply to me,This does not apply to me,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Several days,Several days,More than half the days,Several days,Male,Two or More Races,"Yes, Spanish",Only my mother
No,I had an in-person job or internship,21 to 25,Other,Somewhat well,Not sure / maybe,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer),Architecture and Engineering: (e.g.,  architect, civil, electrical, or mechanical engineer),Legal: (e.g.,  lawyer, judge, paralegal),Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer)","Enroll at a 4 year college/university,Work part-time",Yes,Yes,Yes,Yes,No,Yes,,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Computer skills (i.e. using Word or Excel, programming),Conflict resolution (i.e. finding nonviolent ways to solve disagreements with peers)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,Prefer not to say,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Not applicable (N/A),,,,,Male,Two or More Races,"Yes, Spanish",Both of my parents
No,I had an in-person job or internship,10 or less,Other,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,No,Yes,Yes,Yes,"Architecture and Engineering: (e.g.,  architect, civil, electrical, or mechanical engineer)",Undecided,No,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Strongly Agree,Agree,Disagree,Neutral,Strongly Agree,,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Prefer not to say,"I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",Prefer not to say,Most of the time,This does not apply to me,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,Not at all,Not at all,Not at all,Not at all,Male,Black or African American (Not Hispanic or Latino),"Yes, Cape Verdean/French/Haitian Creole",Both of my parents
No,I had an in-person job or internship,21 to 25,Other,Somewhat well,Probably not,Very supportive,Yes,Yes,Yes,Yes,No,Yes,Very Good,Yes,Yes,Yes,Yes,"Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer),Life, Physical, and Social Sciences: (e.g.,  environmental scientist, biologist, sociologist)",Enroll at a 4 year college/university,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,"Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",I don't pay for any household bills,Most of the time,Sometimes,This does not apply to me,Most of the time,Most of the time,This does not apply to me,Most of the time,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Several days,Not at all,Not at all,Not at all,Male,Two or More Races,"Yes, Spanish",Both of my parents
No,I had an in-person job or internship,21 to 25,Individual / Group Project Work,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,No,Yes,Yes,"Management: (e.g., CEO, director, manager),Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer),Architecture and Engineering: (e.g.,  architect, civil, electrical, or mechanical engineer),Life, Physical, and Social Sciences: (e.g.,  environmental scientist, biologist, sociologist),Community and Social Services: (e.g.,  community organizer, youth worker, or program leader),Legal: (e.g.,  lawyer, judge, paralegal),Education: (e.g.,  teacher, professor, or daycare provider),Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer),Healthcare Support: (e.g.,  home health aid, therapist, medical assistant),Protective Services: (e.g.,  firefighter, police officer, security guard),Food Preparation and Serving: (e.g.,  chef, cook, bartender, waiter or waitress),Building and Grounds Maintenance: (e.g.,  landscaper, housecleaner),Personal Care and Service: (e.g.,  hairdresser, travel guide, fitness trainer),Sales: (e.g.,  advertising, insurance, travel agent, real estate broker),Office and Administrative Support: (e.g.,  bank teller, postal worker, secretary),Construction: (e.g.,  carpenter, painter, plumber, electrician, roofer),Installation and Repair: (e.g.,  aircraft mechanic, automotive, home repair),Production: (e.g.,  machinist, welder, woodworker, factory worker/ operator),Transportation: (e.g.,  pilot, flight attendant, truck driver, train engineer),Military: (e.g., army, navy, air force, marines, coast guard),Sports: (e.g., coach, athlete),I don’t know","Enroll at a 4 year college/university,Enroll in a career training program (e.g., City Academy, YearUp),Enroll in an apprenticeship program (e.g., construction, hospitality),Work full-time,Other (please write in):",Yes,Yes,No,No,No,No,No,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Agree,"Academic skills (i.e. reading, writing, math),Money management skills (i.e. paying bills, using savings account),Computer skills (i.e. using Word or Excel, programming),Job readiness skills (i.e. writing a resume and interviewing),Conflict resolution (i.e. finding nonviolent ways to solve disagreements with peers),Other:","I don't have a good idea how much I spend on things, but I try to keep track of my overall spending.","Cell phone,T/bus pass,Other (please write in):",Most of the time,Most of the time,Most of the time,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,Never,Never,Several days,Nearly every day,Nearly every day,Nearly every day,Male,Hispanic or Latino,"Yes, Spanish",Only my mother
Yes,I had an in-person job or internship,21 to 25,Outdoor / Maintenance / Conservation,Somewhat well,Not sure / maybe,Mostly supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,No,Yes,Yes,"Architecture and Engineering: (e.g.,  architect, civil, electrical, or mechanical engineer),Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer),Building and Grounds Maintenance: (e.g.,  landscaper, housecleaner),Construction: (e.g.,  carpenter, painter, plumber, electrician, roofer)",Enroll at a 4 year college/university,Yes,Yes,Yes,Yes,Yes,Yes,No,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Disagree,"Communication skills (i.e. public speaking, writing emails),Money management skills (i.e. paying bills, using savings account)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Cell phone,School tuition",Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,This does not apply to me,Sometimes,Most of the time,Sometimes,Never,Never,Never,Not applicable (N/A),More than half the days,More than half the days,Several days,Not at all,Male,Black or African American (Not Hispanic or Latino),No other language,Only my mother
Yes,I had an in-person job or internship,21 to 25,Outdoor / Maintenance / Conservation,Very well,Not sure / maybe,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,No,No,Yes,Yes,"Management: (e.g., CEO, director, manager),Building and Grounds Maintenance: (e.g.,  landscaper, housecleaner),Sports: (e.g., coach, athlete),I don’t know",Enroll at a 4 year college/university,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Prefer not to say,I have a budget and keep close track of how much I spend on things like clothing and entertainment.,I don't pay for any household bills,Most of the time,Most of the time,Sometimes,Never,Most of the time,Never,Never,Never,Never,Never,Never,Never,Never,Not at all,Not at all,Not at all,Not at all,Male,Black or African American (Not Hispanic or Latino),Prefer not to say,Both of my parents
No,I had an in-person job or internship,11 to 15,Other,Very well,Not sure / maybe,Mostly supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,Yes,Yes,Yes,"Architecture and Engineering: (e.g.,  architect, civil, electrical, or mechanical engineer)",,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Prefer not to say,I have a budget and keep close track of how much I spend on things like clothing and entertainment.,Prefer not to say,Most of the time,Never,Sometimes,Never,Never,Never,Sometimes,Most of the time,Most of the time,Sometimes,Never,Never,Never,Several days,Several days,Several days,Several days,Male,Black or African American (Not Hispanic or Latino),"Yes, Cape Verdean/French/Haitian Creole",Only my mother
Yes,I had an in-person job or internship,21 to 25,Other,Very well,Not sure / maybe,Mostly supportive,Yes,Yes,Yes,Yes,Yes,No,Very Good,Yes,Yes,Yes,Yes,"Building and Grounds Maintenance: (e.g.,  landscaper, housecleaner),Construction: (e.g.,  carpenter, painter, plumber, electrician, roofer),Military: (e.g., army, navy, air force, marines, coast guard)","Join the military (e.g., army, navy, air force, marines, coast guard),Enroll in an apprenticeship program (e.g., construction, hospitality),Work full-time",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,"Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Conflict resolution (i.e. finding nonviolent ways to solve disagreements with peers)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Clothes/shoes,Eating out,Entertainment",Most of the time,This does not apply to me,Most of the time,Sometimes,Sometimes,This does not apply to me,Most of the time,Sometimes,Most of the time,Sometimes,Never,Sometimes,Not applicable (N/A),More than half the days,Several days,Several days,Nearly every day,Male,Hispanic or Latino,No other language,Foster parent(s)
No,I had an in-person job or internship,26+,Outdoor / Maintenance / Conservation,Somewhat well,Likely,Often supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Community and Social Services: (e.g.,  community organizer, youth worker, or program leader),Sales: (e.g.,  advertising, insurance, travel agent, real estate broker),Office and Administrative Support: (e.g.,  bank teller, postal worker, secretary),Transportation: (e.g.,  pilot, flight attendant, truck driver, train engineer),Sports: (e.g., coach, athlete)","Enroll at a technical/vocational school (e.g., cosmetology, nursing school)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account),Computer skills (i.e. using Word or Excel, programming),Job readiness skills (i.e. writing a resume and interviewing)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Cell phone,Groceries,T/bus pass",Most of the time,Most of the time,Never,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Not at all,Not at all,Not at all,Not at all,Female,Black or African American (Not Hispanic or Latino),No other language,Only my mother
Yes,I had an in-person job or internship,26+,Individual / Group Project Work,Very well,Not sure / maybe,Often supportive,Yes,Yes,Yes,Yes,No,No,Somewhat Good,Yes,Yes,Yes,Yes,"Architecture and Engineering: (e.g.,  architect, civil, electrical, or mechanical engineer)",Enroll at a 4 year college/university,Yes,Yes,Yes,Yes,Yes,Yes,No,Agree,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,"Communication skills (i.e. public speaking, writing emails),Conflict resolution (i.e. finding nonviolent ways to solve disagreements with peers)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.","Eating out,Entertainment",Most of the time,Never,Most of the time,This does not apply to me,This does not apply to me,This does not apply to me,Sometimes,Sometimes,Sometimes,Most of the time,Never,Never,Not applicable (N/A),Nearly every day,Nearly every day,Not at all,More than half the days,Male,White (Not Hispanic or Latino),"Yes, Portuguese",Other (please write in)
Yes,I had an in-person job or internship,,Other,Neither well nor poorly,Probably not,N/A - I did not have a job supervisor,,,,,,,Not Very Good At All,No,No,Yes,Yes,"Sports: (e.g., coach, athlete)",Enroll at a 4 year college/university,No,No,No,No,No,,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Prefer not to say,I have a budget and keep close track of how much I spend on things like clothing and entertainment.,I don't pay for any household bills,This does not apply to me,This does not apply to me,This does not apply to me,This does not apply to me,This does not apply to me,This does not apply to me,This does not apply to me,Most of the time,Most of the time,Sometimes,Never,Sometimes,Not applicable (N/A),Not at all,Not at all,Not at all,Not at all,Male,Two or More Races,No other language,Prefer not to say
Yes,I had an in-person job or internship,21 to 25,Outdoor / Maintenance / Conservation,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,,,Somewhat Good,Yes,Yes,Yes,Yes,"Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker)","Enroll at a 4 year college/university,Work part-time,Take care of children and/or family members,Undecided",Yes,No,Yes,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account),Computer skills (i.e. using Word or Excel, programming),Job readiness skills (i.e. writing a resume and interviewing),Other:","I don't have a good idea how much I spend on things, but I try to keep track of my overall spending.","Cell phone,T/bus pass,Car,Rent/mortgage,Clothes/shoes,Eating out,Other household bills",Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Not at all,Nearly every day,Several days,More than half the days,Male,Two or More Races,"Yes, Spanish",Only my mother
No,I had an in-person job or internship,11 to 15,Other,Somewhat well,Likely,Very supportive,Yes,Yes,Yes,,No,No,Very Good,Yes,No,Yes,Yes,"Construction: (e.g.,  carpenter, painter, plumber, electrician, roofer),Installation and Repair: (e.g.,  aircraft mechanic, automotive, home repair),Production: (e.g.,  machinist, welder, woodworker, factory worker/ operator),Transportation: (e.g.,  pilot, flight attendant, truck driver, train engineer)","Enroll at a 4 year college/university,Work part-time",No,No,No,No,Yes,No,No,Strongly Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,"Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account),Computer skills (i.e. using Word or Excel, programming)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",Eating out,Most of the time,Sometimes,Most of the time,This does not apply to me,This does not apply to me,This does not apply to me,Most of the time,Most of the time,Most of the time,Most of the time,Never,Not applicable (N/A),Not applicable (N/A),Not at all,Not at all,Not at all,Not at all,Male,White (Not Hispanic or Latino),No other language,Both of my parents
No,I had an in-person job or internship,21 to 25,Other,Somewhat well,Probably not,Very supportive,Yes,Yes,Yes,Yes,No,Yes,Very Good,Yes,No,Yes,Yes,"Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer),Architecture and Engineering: (e.g.,  architect, civil, electrical, or mechanical engineer)",Enroll at a 4 year college/university,Yes,No,No,No,Yes,Yes,Yes,Neutral,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",I don't pay for any household bills,Most of the time,This does not apply to me,Most of the time,Most of the time,This does not apply to me,This does not apply to me,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Not applicable (N/A),Not at all,Not at all,Not at all,Not at all,Male,White (Not Hispanic or Latino),No other language,Both of my parents